state,district,block,panchayat,village,village_id,year,week,demand,date
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,1,103.0,2024-01-01
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,2,118.0,2024-01-08
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,3,118.0,2024-01-15
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,4,116.0,2024-01-22
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,5,114.0,2024-01-29
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,6,131.0,2024-02-05
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,7,133.0,2024-02-12
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,8,130.0,2024-02-19
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,9,145.0,2024-02-26
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,10,127.0,2024-03-04
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,11,126.0,2024-03-11
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,12,132.0,2024-03-18
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,13,137.0,2024-03-25
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,14,139.0,2024-04-01
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,15,136.0,2024-04-08
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,16,139.0,2024-04-15
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,17,127.0,2024-04-22
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,18,144.0,2024-04-29
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,19,141.0,2024-05-06
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,20,138.0,2024-05-13
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,21,130.0,2024-05-20
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,22,129.0,2024-05-27
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,23,127.0,2024-06-03
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,24,123.0,2024-06-10
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,25,121.0,2024-06-17
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,26,122.0,2024-06-24
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,27,111.0,2024-07-01
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,28,111.0,2024-07-08
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2024,29,103.0,2024-07-15
