state,district,block,panchayat,village,village_id,year,week,demand,date,previous_demand,demand_2w_ago,demand_4w_ago,weekly_growth,2_week_growth,4_week_growth,consecutive_growth_weeks,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,rolling_mean,rolling_std,z_score,demand_ratio_to_average,same_week_last_year,same_week_2y_ago,seasonal_baseline,seasonal_deviation,volume_dampener,zscore_abnormality,isoforest_abnormality,abnormality_score,anomaly_detected,speed_score,intensity_score,dms,risk,risk_emoji,recommendation,explanation
Tamil Nadu,Villupuram,Tindivanam,Thenmalai Gp,Thenmalai,Tamil Nadu|Villupuram|Tindivanam|Thenmalai,2025,52,415.0,2025-12-22,367.0,329.0,236.0,13.079019073569482,26.13981762917933,75.84745762711864,8,303.75,56.7413723250798,217.125,105.36391019428127,180.33333333333334,100.22368920962687,180.33333333333334,100.22368920962687,2.341429142324228,2.301293900184843,131.0,,131.0,216.793893129771,1.0,46.828582846484565,90.34221092309865,64.2340340771302,True,41.15803814713897,90.74201214681807,63.0,HIGH,🟠,Review pending employment demand and wage payment status. Assess availability of MGNREGA work and consider additional employment allocation.,Demand increased 13% in the latest week · Current demand is 130% above its historical baseline · Current demand is 2.3 standard deviations above baseline · Statistical/ML anomaly detection flagged this week as abnormal · Momentum has increased for 8 consecutive weeks
Tamil Nadu,Salem,Attur,Periyakottai Gp,Periyakottai,Tamil Nadu|Salem|Attur|Periyakottai,2025,52,481.0,2025-12-22,437.5,394.0,267.0,9.942857142857143,22.081218274111674,80.14981273408239,9,353.625,76.56084181877836,251.0625,125.85378066289013,204.54166666666666,121.70072427014887,204.54166666666666,121.70072427014887,2.2716243883615403,2.3515991036871053,149.0,,149.0,222.81879194630872,1.0,45.4324877672308,92.1095327033363,64.10330574167301,True,34.82857142857143,91.81998079329512,60.7,HIGH,🟠,Review pending employment demand and wage payment status. Assess availability of MGNREGA work and consider additional employment allocation.,Demand increased 10% in the latest week · Current demand is 135% above its historical baseline · Current demand is 2.3 standard deviations above baseline · Statistical/ML anomaly detection flagged this week as abnormal · Momentum has increased for 9 consecutive weeks
Tamil Nadu,Villupuram,Gingee,Melpakkam Gp,Melpakkam,Tamil Nadu|Villupuram|Gingee|Melpakkam,2025,52,17.0,2025-12-22,15.0,9.0,8.0,13.333333333333334,88.88888888888889,112.5,3,9.25,4.193248541803041,9.0,2.82842712474619,9.083333333333334,2.7784342658585586,9.083333333333334,2.7784342658585586,2.8493266023770234,1.8715596330275228,11.0,,11.0,54.54545454545454,0.6055555555555556,56.98653204754047,73.67066058877018,63.66018346403236,True,25.231481481481488,81.53342070773263,53.7,MODERATE,🟡,Increase monitoring frequency. Review recent employment demand trends for this village.,Demand increased 13% in the latest week · Current demand is 87% above its historical baseline · Current demand is 2.8 standard deviations above baseline · Statistical/ML anomaly detection flagged this week as abnormal · Momentum has increased for 3 consecutive weeks
Tamil Nadu,Salem,Attur,Servarayan Gp,Servarayan,Tamil Nadu|Salem|Attur|Servarayan,2025,52,164.0,2025-12-22,150.0,145.0,133.0,9.333333333333334,13.10344827586207,23.308270676691727,2,143.25,7.228416147400462,136.625,9.635314510397953,130.33333333333334,12.37543999829954,130.33333333333334,12.37543999829954,2.720441994086082,1.258312020460358,131.0,,131.0,25.190839694656486,1.0,54.40883988172164,23.630370368508625,42.09745207643643,False,33.0,39.85933503836316,37.8,LOW,🟢,Continue routine monitoring. No administrative action required at this time.,Demand increased 9% in the latest week · Current demand is 26% above its historical baseline · Current demand is 2.7 standard deviations above baseline
Tamil Nadu,Salem,Attur,Chinnakoundampalayam Gp,Chinnakoundampalayam,Tamil Nadu|Salem|Attur|Chinnakoundampalayam,2025,52,114.0,2025-12-22,105.0,91.0,105.0,8.571428571428571,25.274725274725274,8.571428571428571,2,99.75,6.701989754294372,93.375,9.753204601565539,89.75,9.687151753271694,89.75,9.687151753271694,2.503315795771437,1.2701949860724233,112.0,,112.0,1.7857142857142856,1.0,50.06631591542874,18.04473536104406,37.25768369367487,False,30.714285714285715,40.84958217270194,35.7,LOW,🟢,Continue routine monitoring. No administrative action required at this time.,Demand increased 9% in the latest week · Current demand is 27% above its historical baseline · Current demand is 2.5 standard deviations above baseline
Tamil Nadu,Villupuram,Gingee,Vadakku Agraharam Gp,Vadakku Agraharam,Tamil Nadu|Villupuram|Gingee|Vadakku Agraharam,2025,52,61.0,2025-12-22,57.0,51.0,54.0,7.017543859649122,19.607843137254903,12.962962962962962,2,54.25,2.499999999999998,50.625,4.240535680446918,48.416666666666664,4.870287154747236,48.416666666666664,4.870287154747236,2.5836943353674595,1.259896729776248,61.0,,61.0,0.0,1.0,51.67388670734919,17.17219345386163,37.87320940595417,False,26.052631578947366,39.99139414802067,33.8,LOW,🟢,Continue routine monitoring. No administrative action required at this time.,Demand increased 7% in the latest week · Current demand is 26% above its historical baseline · Current demand is 2.6 standard deviations above baseline
Tamil Nadu,Villupuram,Gingee,Rajapalayam Colony Gp,Rajapalayam Colony,Tamil Nadu|Villupuram|Gingee|Rajapalayam Colony,2025,52,93.0,2025-12-22,88.0,85.0,86.0,5.681818181818182,9.411764705882353,8.13953488372093,3,85.25,2.5000000000000324,81.875,5.540435774506245,79.66666666666667,5.913518155015356,79.66666666666667,5.913518155015356,2.254720960317861,1.1673640167364017,92.0,,92.0,1.0869565217391304,1.0,45.09441920635722,18.324889167171282,34.386607190682845,False,22.045454545454547,30.920502092050214,28.4,LOW,🟢,Continue routine monitoring. No administrative action required at this time.,Demand increased 6% in the latest week · Current demand is 17% above its historical baseline · Current demand is 2.3 standard deviations above baseline · Momentum has increased for 3 consecutive weeks
Tamil Nadu,Salem,Yercaud,Nallur Gp,Nallur,Tamil Nadu|Salem|Yercaud|Nallur,2025,52,90.0,2025-12-22,87.0,77.0,83.0,3.4482758620689653,16.883116883116884,8.433734939759036,3,79.75,6.601767440112781,76.625,7.190022849159,73.66666666666667,7.401883462192311,73.66666666666667,7.401883462192311,2.206645567545274,1.2217194570135745,83.0,,83.0,8.433734939759036,1.0,44.13291135090548,19.95751353158878,34.462752223178796,False,13.793103448275861,36.809954751131215,26.9,LOW,🟢,Continue routine monitoring. No administrative action required at this time.,Current demand is 22% above its historical baseline · Current demand is 2.2 standard deviations above baseline · Momentum has increased for 3 consecutive weeks
Tamil Nadu,Salem,Yercaud,Kumarapuram Gp,Kumarapuram,Tamil Nadu|Salem|Yercaud|Kumarapuram,2025,52,111.0,2025-12-22,110.0,106.0,101.0,0.9090909090909091,4.716981132075472,9.900990099009901,3,103.25,6.075908711186072,100.25,5.496752287877426,96.83333333333333,7.183735839106447,96.83333333333333,7.183735839106447,1.9720472723324414,1.1462994836488813,115.0,,115.0,-3.4782608695652173,1.0,39.440945446648826,18.381347789697745,31.017106383868395,False,3.6363636363636362,28.287435456110174,19.2,LOW,🟢,Continue routine monitoring. No administrative action required at this time.,Current demand is 15% above its historical baseline · Current demand is 2.0 standard deviations above baseline · Momentum has increased for 3 consecutive weeks
Tamil Nadu,Villupuram,Tindivanam,Alagapuram Gp,Alagapuram,Tamil Nadu|Villupuram|Tindivanam|Alagapuram,2025,52,115.0,2025-12-22,116.0,100.0,111.0,-0.8620689655172413,15.0,3.6036036036036037,0,106.75,8.057087976847862,101.75,7.814821083775915,96.66666666666667,10.075472768816141,96.66666666666667,10.075472768816141,1.8196003060100057,1.1896551724137931,100.0,,100.0,15.0,1.0,36.392006120200115,13.145707084151631,27.093486505780724,False,0.0,33.70689655172415,18.2,LOW,🟢,Continue routine monitoring. No administrative action required at this time.,Current demand is 19% above its historical baseline · Current demand is 1.8 standard deviations above baseline
