state,district,block,panchayat,village,date,demand
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-01-01,124.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-01-08,123.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-01-15,132.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-01-22,142.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-01-29,132.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-02-05,135.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-02-12,151.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-02-19,148.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-02-26,141.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-03-04,150.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-03-11,145.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-03-18,146.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-03-25,152.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-04-01,136.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-04-08,137.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-04-15,145.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-04-22,141.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-04-29,149.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-05-06,138.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-05-13,132.0
